id,brand,model,year,fuel,kms,transmission,2door,color,type,displacement,hp,euro,price
62ece5456d0afa2e7f0c7552,Mercedes-Benz,ML,2014,d,260003.0,1.0,0.0,white,jeep,3500,258,6,49999.0
63f64a5b98abfdaaf80634f9,Mercedes-Benz,E,2004,d,225000.0,1.0,0.0,gray,sedan,3200,177,4,8499.0
63f4b0eec5d3f1dd240c7f64,Mercedes-Benz,CLA,2013,d,243000.0,1.0,0.0,blue,coupe,2000,136,6,22000.0
6408d70a70694e38170d97b4,Mercedes-Benz,ML,2006,d,180003.0,1.0,0.0,gray,jeep,3200,224,4,13999.0
63fc7db3f9f253c7cd044ac2,Mercedes-Benz,ML,2003,d,331500.0,1.0,0.0,black,jeep,2698,163,3,8999.0
63b16abf937d3bde0000a1b2,Mercedes-Benz,CLS,2007,d,206800.0,1.0,0.0,gray,sedan,3000,224,4,18555.0
63c83510b6308de127081142,Mercedes-Benz,ML,2007,d,280000.0,1.0,0.0,black,jeep,3200,224,4,14500.0
6343e16065b157266005f9b2,Mercedes-Benz,GLK,2010,d,188000.0,1.0,0.0,white,jeep,2200,170,5,27800.0
63fa3cf1c57a92dbbe0b05e4,Mercedes-Benz,124,1989,g,400000.0,0.0,0.0,black,sedan,,122,2,4700.0
6400725ae6f1573a710f8f85,Mercedes-Benz,E,1997,d,293000.0,0.0,0.0,blue,sedan,,,,3400.0
63ba99dfbd87596886072472,Mercedes-Benz,C,1997,g,270000.0,0.0,0.0,gray,sedan,,122,,2900.0
640d7aaff56a2f9fbb0714c2,Mercedes-Benz,S,1992,g,350000.0,1.0,0.0,gray,sedan,5000,326,,13500.0
63abfaee44fbc85009029725,Mercedes-Benz,A,2007,d,231000.0,1.0,0.0,black,hatchback,1800,109,4,5400.0
639721af671f11d2320184d5,Mercedes-Benz,C,2004,d,186000.0,0.0,0.0,gray,combi,2000,122,4,5700.0
637fa1a51f149c3756081e83,Mercedes-Benz,C,2016,d,183000.0,1.0,0.0,black,combi,2200,,6,28900.0
63122d89956d58f72e0dcd92,Mercedes-Benz,CLS,2007,g,230000.0,1.0,0.0,black,sedan,5000,306,4,20600.0
63e3b142ff42d7d36e092fd4,Mercedes-Benz,E,2004,d,249000.0,1.0,0.0,gray,sedan,3000,204,4,9990.0
640c6b79238c0636410fd272,Mercedes-Benz,S,2009,d,26700.0,1.0,0.0,black,sedan,3000,235,5,26600.0
